,0,1,2,3
1,"New Delhi, India",0,Sun Mar 01 06:29:00 +0000 2020,Since #Modi #Shah have announced there's no #NRC in #India it would be best to watch them and their actions for the time being
12,Hearts of the people  ,3,Sun Mar 01 06:03:26 +0000 2020,@pokershash Srk makes movie RAEES and was shown bootlegger in that.  In sullo ko Bas aise he RAEES banana hai   Illegal acid factory they run  Illegal weapons they keep at their home  Illegal activities they do in their colony  Illegal identity cards they
15,Dumeels land,1,Sun Mar 01 05:48:27 +0000 2020,RT @_Kongu_: @Setutt @irenaakbar Is that why your country is sending in illegals and taking over border regions ? Precise reason we need #Nâ€¦
40,à®•à¯Šà®™à¯à®•à¯à®¨à®¾à®Ÿà¯ / Kongu Nadu,1,Sun Mar 01 04:28:37 +0000 2020,@Setutt @irenaakbar Is that why your country is sending in illegals and taking over border regions ? Precise reason we need #NRC ASAP
41,Singapore,0,Sun Mar 01 04:22:30 +0000 2020,"*attempt to explain #NRC*  10,000 ft national view If youâ€™re a muslim and donâ€™t have documents to prove, get out of India  5000 ft state view post NRC Those who donâ€™t belong to state, get out of state  2500 ft city view Donâ€™t have docs for that city, get out of city"
48,"Mumbai, India",0,Sun Mar 01 01:58:50 +0000 2020,#TahirHussian @ReallySwara  #Shahrukh and @AamAadmiParty all are equal responsible for #DelhiViolence  All are 3rd grade either actor or terrorist. Ye log @BJP4India ka virodh kartay kartay India k bhi against ho gaye. They must be punished. Need #NRC on urgent basis.
75,Mavelikara,1,Sat Feb 29 11:48:38 +0000 2020,RT @santoshnds: @RajeIyer This is some kind of serious conspiracy. Plz donâ€™t give any documents to anyone without proper verification @Arviâ€¦
205,Mumbai - The City of Dreams !,3,Fri Feb 28 05:09:13 +0000 2020,In July 19 I had tweeted to @HMOIndia that new terrorism module will be civil war and that will begin around NY2020 ! Trial was #bhimakoregaon !! At the end it's all about keeping unrest alive in some part of India. That's why #NRC is so important !  1/2 #DelhiRiotTruth
301,NE IND,0,Wed Feb 26 17:41:23 +0000 2020,"@editoraju @ReallySwara Did she's able to get drafts of #NRC  Did she lost her ""Kagaj"" during #DelhiRiots2020  She is such element responsible for misguide #Muslims And don't forget Court asked for collect #videos of hate speeches and you should be a cust"
964,NE IND,0,Sun Feb 23 16:51:04 +0000 2020,"@advmonikaarora @narendramodi @AmitShah Absolutely right they're now well in strange and knows that #Hindus are politically divided They have planned &amp; equiped they don't bother ""we the people of India"" They become scared about of Hindus welfare by go"
1022,,0,Sun Feb 23 12:19:27 +0000 2020,@DaaruBaazMehta @RubikaLiyaquat @ReallySwara @ABPNews This jobless @ReallySwara is spreading hatred among Muslims against #NRC by spreading false rumours. #NRC is not yet drafted and she is talking of provisions included....Is she not trying to incite Mus
1109,,0,Sun Feb 23 06:01:05 +0000 2020,@ABPNews @RubikaLiyaquat Even after one night stands @ReallySwara could not make into #bollywood than tried webseries to beat #SunnyLeone with her finger now done hat off activist lol #nrc in #assam signed by #rajivgandhi as 1971 is cut off date and it's 
1351,,0,Fri Feb 21 18:09:42 +0000 2020,@ShashiTharoor @realDonaldTrump false promise is the fuel and #jumla is our way  #BTSComeback2020 #MAP_OF_THE_SOUL_7 #NRC
2291,"Mumbai, INDIA",0,Sun Mar 01 06:31:03 +0000 2020,@IndiaToday @diwanshu_tomar Suddenly Muslims of India lost it's right to peacefully protest against draconian #CAA bill.  And this is just the beginning!  #ShaheenBagh #DelhiPolice #Section144 #Muslim
2311,"New Delhi, India",0,Sun Mar 01 06:03:32 +0000 2020,"@aishe_ghosh @AamAadmiParty @ArvindKejriwal Why are people explain her law here, she's an anarchist. She wants to see democracy burn.  And I'm just curious why no #CAA ?? Miss anarchy ??"
2528,UK,0,Sat Feb 29 14:34:13 +0000 2020,"#SyrianRefugees thousands of migrants have crossed to EU #Turkey #Erdogan can't accept and provide shelter to #Muslims refugees, But ready to vomit on #Indian #CAA  ðŸ˜”  #Greece is throwing tear gas on refugees, But #EU wants to observer refugees status in India.  lol"
2592,,1,Sat Feb 29 12:51:21 +0000 2020,"RT @AshishMukati13: The goons are provoked by congress, AAP and intellectual terrorists. under the deliberate misinformation on #CAA, now tâ€¦"
16759,..,2,Sat Feb 22 04:15:01 +0000 2020,@PrinceArihan @Manikan67967688 Church must protest at least at Pakistan embassy in India and worldwide against atrocities committed by Pak against it's Christian minority&amp; thank India for bringing #CAA to help Christians in Pakistan. Instead it is mal
16873,"Bengaluru, India",0,Fri Feb 21 19:23:37 +0000 2020,@EconomicTimes @narendramodi &amp; @AmitShah sir your minister is saying you have brought #CAA  correct mistake done on 1947 and now you will remove Muslims out of Bharath. But you say this will not affect Muslims. So #IndiaAgainstCAA_NPR_NRC #ShaheenBagh
