,Location,Retweet_Count,Date,Tweets
1,"New Delhi, India",0,Sun Mar 01 06:29:00 +0000 2020,Since #Modi #Shah have announced there's no #NRC in #India it would be best to watch them and their actions for the time being
12,Hearts of the people  ,3,Sun Mar 01 06:03:26 +0000 2020,@pokershash Srk makes movie RAEES and was shown bootlegger in that.  In sullo ko Bas aise he RAEES banana hai   Illegal acid factory they run  Illegal weapons they keep at their home  Illegal activities they do in their colony  Illegal identity cards they
15,Dumeels land,1,Sun Mar 01 05:48:27 +0000 2020,RT @_Kongu_: @Setutt @irenaakbar Is that why your country is sending in illegals and taking over border regions ? Precise reason we need #Nâ€¦
40,à®•à¯Šà®™à¯à®•à¯à®¨à®¾à®Ÿà¯ / Kongu Nadu,1,Sun Mar 01 04:28:37 +0000 2020,@Setutt @irenaakbar Is that why your country is sending in illegals and taking over border regions ? Precise reason we need #NRC ASAP
41,Singapore,0,Sun Mar 01 04:22:30 +0000 2020,"*attempt to explain #NRC*  10,000 ft national view If youâ€™re a muslim and donâ€™t have documents to prove, get out of India  5000 ft state view post NRC Those who donâ€™t belong to state, get out of state  2500 ft city view Donâ€™t have docs for that city, get out of city"
48,"Mumbai, India",0,Sun Mar 01 01:58:50 +0000 2020,#TahirHussian @ReallySwara  #Shahrukh and @AamAadmiParty all are equal responsible for #DelhiViolence  All are 3rd grade either actor or terrorist. Ye log @BJP4India ka virodh kartay kartay India k bhi against ho gaye. They must be punished. Need #NRC on urgent basis.
75,Mavelikara,1,Sat Feb 29 11:48:38 +0000 2020,RT @santoshnds: @RajeIyer This is some kind of serious conspiracy. Plz donâ€™t give any documents to anyone without proper verification @Arviâ€¦
98,,1,Sat Feb 29 05:00:09 +0000 2020,@RajeIyer This is some kind of serious conspiracy. Plz donâ€™t give any documents to anyone without proper verification @ArvindKejriwal @AmitShah @HMOIndia. Now itâ€™s time for #NRC and #UCC @narendramodi. Letâ€™s do it at one go for a better future of In
110,,0,Sat Feb 29 03:22:35 +0000 2020,"@vivekagnihotri Those who hated hindu, were involved in riots. The entire CAA protest was anti hindu, the riots in delhi were Anti hindu. We needs to have #NRC and UCC as soon as possible"
111,,0,Sat Feb 29 03:20:05 +0000 2020,"@AbdulMa56240313 @Dippy_Chen @MrsGandhi No hate at all. No #NRC now in country then why you are on street and vandalising across country. Actually you want another #Papistan. You r better here with us but #AltafHossain, MQM leader  ,descendents of propaki"
114,"New Delhi, India",0,Sat Feb 29 03:09:17 +0000 2020,@Aakar__Patel #NRC Will happen. And these anti-hindu protests will also be dealt with. We have faith in @narendramodi &amp; @AmitShah
115,chennai,2,Sat Feb 29 03:08:41 +0000 2020,"@brakoo Yes indeed,but sure they will have more tough times ahead in future too,because we need  #uniformcivilcode  #NRC #populationcontrollaw etc In a democratic fake secularism country its not easy to lead,but  Modi and Mota bhai will surely up for it."
116,In your head,0,Sat Feb 29 03:02:36 +0000 2020,"@Aakar__Patel Bhai jaake kagaz dhundo. When #NRC hits you, you can't even squeal. Will make sure every termite is cornered and thrown awayðŸ˜Ž"
121,India,1,Sat Feb 29 01:22:18 +0000 2020,"RT @RebelloAnil: @sunandavashisht Youâ€™re actually right. Thereâ€™s the #NRC which no one have seen and there are are bright, precious and briâ€¦"
122,Rama Rajyam,2,Sat Feb 29 01:18:26 +0000 2020,@Swamy39 Most of the muslims who led the riots were Bangladeshis. #NRC is must and should for india if it wants peaceful society
124,eveywhere,0,Sat Feb 29 00:50:09 +0000 2020,@ishkarnBHANDARI What is @HMOIndia waiting for? Bring in #NRC #UCC #AntiConversion and #PopulationControlBill now. They are already creating mayhem. Then deal with rioters with an iron fist.
130,,0,Fri Feb 28 20:17:19 +0000 2020,"@Anirudh_Astro @narendramodi @AmitShah Appoint this person as your advisor and take this Astrologers advice to get the correct position of planets and stars, so that #NRC roll out should be a success."
137,à¤­à¤¾à¤°à¤¤,0,Fri Feb 28 17:37:55 +0000 2020,I stand with @KapilMishra_IND  I would like to come to anyone's house with my 10 friends to live in who protest against #NRC. And I guarantee all peace. Anyone .. knock..knock #delhiburning
138,,1,Fri Feb 28 17:30:36 +0000 2020,RT @MkMukeshmook: I would say with all the clarity that not only #PatrioticIndiansSupportCAA but also urge @AmitShah &amp; @narendramodi ji briâ€¦
140,"Chennai, Tamil Nadu",0,Fri Feb 28 17:24:40 +0000 2020,@news7tamil @sumanthraman Sir - #NRC is not being discussed yet and have you got any version of NRC proposal that others do not have access to sir! Is there a draft bill for it or was this tables in parliament sir?
141,India,0,Fri Feb 28 17:07:19 +0000 2020,Instead of protestors in hundreds create thousands of new crorepathis excluding property and bank savings. That will be new India. #2020 @nitin_gadkari @nsitharamanoffc @NepoleonD @realDonaldTrump @INCIndia @narendramodi @EPSTamilNadu #NRC
