,Location,Retweet_Count,Date,Tweets
0,"Lucknow Canttonment Zone, Luck",1,Mon Mar 02 13:33:57 +0000 2020,RT @GlobalHindu2020: @ImranKhanPTI There are many people whose ancestors voted for the Muslim League and supported the creation of Pakistanâ€¦
1,"Hyderabad, India",0,Mon Mar 02 13:30:02 +0000 2020,"@AraibKarim @TulsiGabbard The ignorance, hate and lies  are in your head, ""Syed"".  The #CAA law was passed by both houses of the Indian Parliament and only gives citizenship to persecuted minorities from neighbouring Islamist states."
2,Global,1,Mon Mar 02 13:27:18 +0000 2020,@ImranKhanPTI There are many people whose ancestors voted for the Muslim League and supported the creation of Pakistan are still living in India.  They treat India as their enemy country despite physically living India.  Pass a law like #CAA accept all of
4,"Bengaluru, India",0,Mon Mar 02 13:24:03 +0000 2020,"I don't like Twitter but I'm here now. After the last 6 months with the #CAA and now the communal state-sponsored violence in #Delhi this last week, not using my voice on every single medium I have access to is a flagrant abuse of privilege. And I have to say: #AmitShahResign"
5,,1,Mon Mar 02 13:12:06 +0000 2020,"RT @Ranjith05333645: These idiots can fire for Da reason of CAA,GOD etc.y can't dey fire for Da reason of humanity?  y can't da people, polâ€¦"
6,"Mangalore, India",1,Mon Mar 02 13:11:59 +0000 2020,"These idiots can fire for Da reason of CAA,GOD etc.y can't dey fire for Da reason of humanity?  y can't da people, politicians,bhakts, students union who are fighting for #CAA and  #ANTI_CAA fight for justice Is dis we call unity #nirbhayaconvicts #NirbhayaCase #nirbhayabetrayed"
9,Gorakhpur,0,Mon Mar 02 13:06:30 +0000 2020,Muslims know very well that CAA doesnt harm them at all. They are a very argumentative community and understand politics 100 times better than a common Hindu. Stop wasting your time convincing them. They are working on an Islamic project and wont listen to you. #CAA  #DelhiBurns
11,India,0,Mon Mar 02 13:03:03 +0000 2020,"The #DelhiRiots eliminate the citizenship claims of all those whose homes (and Voter IDs, Aadhaars, electricity meters + bills, other personal affects that can prove citizenship under the #CAA) have been burnt down.  Still think it's fair play?  #CAA_NRC_Protests"
18,kaliyug,0,Mon Mar 02 12:50:08 +0000 2020,"@CNNnews18 See the intensity and unrest created by one single #minority, showing it muscle #DelhiBurning #DelhiRiot2020 #CAA imagine what will happen if the same situation happens after 10years with more of them...#HinduGenocide @Swamy39"
20,United States,0,Mon Mar 02 12:47:08 +0000 2020,@aajtak @sardanarohit Please why no media channels arr showing true meaning of #CAA and confirm that #nrc not passed NPR is regular process Screen all madrsa Imam mosque who are creating confusion
